id,a,e,i,spec_B
a0000047,2.881429415219778,.1298072811858983,4.97520818077294,B
a0000048,3.11008809457609,.0724438865232663,6.547416659615668,Ch
a0000049,3.105045614871076,.2220670204343255,3.195214934385568,Ch
a0000050,2.6487938488856,.2859855287089949,2.838219801068548,Ch
a0000051,2.365835370511375,.06755935667808723,9.977178323434973,Ch
a0000052,3.093091389167675,.1103692571861618,7.478752247537128,C
a0000054,2.71037790178851,.1973389661747191,11.79829500020373,C
a0000055,2.759834765716024,.142968742409928,7.180078043399917,X
a0000056,2.595744872041014,.2380827739019062,8.080990773256605,Xk
a0000057,3.151209171387807,.1134668535347681,15.2150901910628,S
a0000058,2.700075757582706,.04278237110554925,5.065410280430273,Ch
a0000059,2.71183615807797,.119291448707093,8.641685581142685,B
a0000060,2.392299537647675,.1845543493740137,3.600354383870743,S
a0000061,2.985558303930569,.1659587169233777,18.19649464790589,S
a0000062,3.135443051394849,.1677318330114165,2.233522772978567,Ch
a0000063,2.395430898500015,.1269055089200656,5.775580402438681,Sa
a0000064,2.681124845833428,.1255294266046353,1.309694153364259,Xe
a0000065,3.425952865453392,.1119429431855477,3.563530794176698,Xc
a0000066,2.646063567466462,.1729405371299572,3.045599281980342,Ch
a0000067,2.421340541431656,.1854269311045259,6.030227768661032,S
a0000069,2.976722493654596,.1703273489880466,8.591269359373253,X
a0000070,2.615909298989354,.1804261666292311,11.59491858047739,Ch
a0000071,2.756529560476193,.1733221148836493,23.2624219679923,Xe
a0000074,2.783093828404418,.2364369024460758,4.070962452070505,C
a0000075,2.674602630154863,.3036918951779823,4.991336412731273,Xk
a0000076,3.412680485450014,.1658287397803201,2.121739635652372,X
a0000077,2.668110944586935,.1322980569778512,2.422957846296691,Xe
a0000078,2.619441852303631,.2073652079047835,8.700973567044324,Ch
a0000079,2.446712333988616,.1899614085030926,4.613126624235388,S
a0000080,2.295864533501763,.200032479133778,8.675455619963959,S
a0000081,2.853597191311584,.2106974033807872,7.802982871284191,Cb
a0000082,2.76290133140184,.2200857339613569,2.826411725244165,Sq
a0000083,2.432320401078099,.08152139347955675,4.963962153769252,X
a0000084,2.362489791750268,.2358436915884772,9.315346853292226,Ch
a0000085,2.651765384015089,.194545765099498,11.96206292367353,B
a0000087,3.482566203198947,.09306324302255792,10.87710668066663,X
a0000088,2.769174120533424,.1616429151189032,5.213931436362253,B
a0000089,2.550012155186965,.1847480527505757,16.12960260320511,K
a0000090,3.149874897516671,.1660765171508087,2.206908669609235,C
a0000091,2.592223971027503,.1056781138834355,2.103166133128573,Ch
a0000092,3.185736393419545,.1045333129004502,9.932002849360668,Xc
a0000093,2.756118499238521,.1390818477655423,8.556921425643125,C
a0000094,3.156538536515994,.09394476439439903,7.970756953848873,C
a0000095,3.065326794225968,.1525872344270108,12.99536764165093,Ch
a0000096,3.050889459357941,.1405965690791181,15.9731673336389,T
a0000098,2.687760365454952,.1867543762071531,15.57151830749099,Ch
a0000099,2.66570420673932,.1950032218735342,13.84727302336029,Xk
a0000100,3.087283252207346,.1692041577249139,6.431726467934714,S
a0000101,2.583800893261519,.1402330865078128,10.19447279811673,S
a0000102,2.662343773509722,.2520325373404748,5.176794935591281,C
a0000103,2.701656650287001,.07919874401288174,5.418388038758586,S
a0000104,3.145016317096632,.1605721898158354,2.790040241063087,Ch
a0000105,2.373917360564135,.177378501598387,21.44015541704821,Ch
a0000106,3.186263512433768,.1621661366107806,4.592184152974613,Cgh
a0000107,3.491538547146307,.0653768964214676,9.999894843761686,X
a0000108,3.236576263689376,.05547508755637338,4.220482269351368,Sl
a0000109,2.696073710862217,.2988889027572925,7.842543254286427,Ch
a0000110,2.731441254291479,.08145157110435765,5.96495350942074,X
a0000111,2.593214392202516,.1027068734599861,4.931572607177219,Ch
a0000112,2.433981119239214,.1277009896907783,2.59905275990915,Ch
a0000113,2.375661940888933,.08692281085652911,5.042971186351139,S
a0000114,2.678568836059156,.1353613010496481,4.935771274102565,Xk
a0000115,2.379582468612531,.1931026284732521,11.59296379192919,S
a0000116,2.766288646429152,.1420601482750189,3.564397084028128,Sk
a0000117,2.990315511327769,.02762770758569244,14.90248311079075,X
a0000118,2.436754880924875,.1645618626759572,7.745998492833585,S
a0000119,2.581258245543978,.08045541833642131,5.786176994654598,Sl
a0000120,3.119512826343674,.0522276155552853,6.961644652909204,C
a0000121,3.451838968715325,.1318773194198184,7.597630696274856,Ch
a0000122,3.224719232069677,.03170015330646539,1.640271664242935,L
a0000123,2.694897609296021,.120489801544295,6.413865306003039,S
a0000124,2.63077646390296,.07549287739338807,2.957084410328403,S
a0000125,2.744361968451495,.07777621346245737,4.663375606531786,X
a0000127,2.755449783670235,.06689319997567746,8.244857771488434,Ch
a0000128,2.749885198422125,.127406599950748,6.245446844962712,C
a0000129,2.868588386950578,.2120347276246057,12.26563051909311,X
a0000130,3.125184922777858,.2087705743299564,22.7795196003772,Ch
a0000131,2.432107242673414,.06752329487449374,4.961349142597085,Xc
a0000133,3.063879245257973,.1354922528032086,7.213057776974285,S
a0000134,2.562751518889254,.116569376938704,11.60092878443602,Ch
a0000135,2.428396219266492,.2069913825319087,2.303799898166181,Xk
a0000136,2.286339425807574,.08521459441678242,9.579215943406206,Xe
a0000139,2.782193067292932,.1748124627583146,10.90888279597156,X
a0000140,2.733948258355242,.2140709653454698,3.185417600669929,Xc
a0000141,2.664283192188837,.214850230884064,11.89775268421176,Ch
a0000142,2.418900605762048,.13521551389963,2.239120334353443,B
a0000143,2.76035722697282,.07440608249974205,11.44456921648253,Xc
a0000144,2.655049605836207,.2345040649554747,4.814381235024314,Ch
a0000145,2.674520602821814,.14416551367363,12.63561903700331,Ch
a0000146,2.718078993740406,.06726758795374101,13.10113149907183,Ch
a0000147,3.141319916556414,.02552290635140079,1.933842546025238,C
a0000148,2.771509056408663,.1870509993775136,25.28888453805149,S
a0000150,2.983200862073344,.1231662890491987,2.201283187408271,Cb
a0000151,2.591515989894868,.03327258144499343,6.434814731891269,Sl
a0000152,3.137107545362302,.08077999035826604,12.12480403174078,S
a0000153,3.979617340708753,.1402350795004573,7.826107749495004,X
a0000154,3.196321089894497,.07700935331767415,20.97197182484834,C
a0000156,2.727097982060085,.2272117370469632,9.781852348362859,Ch
a0000158,2.870949344488314,.05157967421451319,1.005094902287128,S
a0000159,3.102688587251141,.1070181227689404,6.130813712009724,Ch
a0000160,2.727733590277533,.06697517257105223,3.823882058754434,C
a0000161,2.379041603042297,.1377381015645935,9.059606827850867,Xc
a0000162,3.016771817240037,.1807685903401747,6.091203753532741,Ch
a0000163,2.367336248384003,.1914099069263507,4.814141074796297,Ch
a0000164,2.632268985432172,.3464374651032295,24.47402115661442,X
a0000165,3.126195859897862,.08555339667333139,11.22600591317563,Cb
a0000166,2.684670142987463,.211819463240207,12.02935232549187,Xe
a0000167,2.85240070404957,.03735439703196525,2.212657604882228,Sk
a0000168,3.372311794218929,.07363510266327303,4.670180135355428,Ch
a0000169,2.35800944853852,.1308888429383497,5.499467343071964,Sl
a0000170,2.553786541678847,.06362075821763016,14.37737864722117,S
a0000171,3.128918845080336,.1323067201038215,2.546753758355288,C
a0000172,2.380018228623428,.1140650205773529,10.01858764491464,L
a0000173,2.743253007434654,.2086987727908632,14.19554514696601,Xk
a0000174,2.862284600430505,.1411807846078337,12.12087388461741,S
a0000175,3.182769241949296,.233064630297079,3.218737087793336,Cg
a0000176,3.181049519011109,.170596930609761,22.67339431975154,Ch
a0000177,2.774364873208924,.2342369606841545,1.381172952335856,Ch
a0000178,2.460885294437401,.04327074539932856,1.89383967138446,S
a0000179,2.976110846851071,.1114579661596882,7.820760478961434,Sk
a0000180,2.722264502893383,.1667281098863604,.8673395719338688,Sq
a0000181,3.12556737825259,.2062531157183546,18.88803841233254,Xk
a0000182,2.415649159666532,.1862693063301496,2.00540673365072,S
a0000183,2.790981913861323,.350495625123845,26.38797251886011,S
a0000184,3.188001813492212,.06632125992936992,1.143016623855552,X
a0000185,2.737506641345277,.1290539581156067,23.23752856285748,C
a0000186,2.361442585526953,.1501553501037968,13.18512007268964,K
a0000187,2.726894086219739,.2415669601889656,10.58578496686485,Ch
a0000188,2.761107145727388,.1790896514108202,11.70476641725669,S
a0000189,2.451427600047417,.036370431961094,5.176071695831551,Sa
a0000190,3.985505451489644,.1664225819313749,6.177402715323943,X
a0000191,2.893762679100764,.09083407912458429,11.50794189487628,Cb
a0000192,2.403100506244856,.245042137546292,6.797987969208881,Sl
a0000193,2.603086660916226,.2965189542096476,11.98025954053587,Sk
a0000194,2.615394837262503,.2383234054176739,18.50864899231855,C
a0000195,2.877853689330502,.04362852569599967,6.969879296545527,Ch
a0000196,3.113336492309564,.01590653744791651,7.263021046748258,S
a0000197,2.737722817951632,.1644326617576796,8.795436827188073,S
a0000198,2.45916842099915,.2269015972585369,9.321124068855674,S
